variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE[no-orc],10,2,21,3.986579112347158,31.94,0.0,-0.9095,2.0,0,4.108379959076046,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,11,24,0.0,93.33,8.99,0.0,0.0,0,2.9249551516841166e-05,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0
ORC-SHADE[no-orc],10,2,4,3.986579112347158,43.59,0.0,0.0,2.0,0,4.006387306960164,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,29,3.986579112347158,26.15,0.0,-0.1732,2.0,0,4.0433986733199845,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,12,4,166.38750694155897,80.54,11.0,0.0,0.0,0,166.38772989454947,166.38750694155897,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE[no-orc],10,2,3,8.916101927781312,45.91,0.0,-0.416,2.0,0,8.916111922930384,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
ORC-SHADE,10,7,17,4.81551523989765e-07,170.09,33.0,-0.5,0.0,0,21.784492432568868,3.741708388446341,0.7276074942224113,0.18129586573058987,4.81551523989765e-07
ORC-SHADE,10,12,5,166.38750694155897,80.03,11.31,-0.0577,0.0,0,166.38774457002637,166.38750694155897,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE[no-orc],10,2,27,8.916101927781312,31.02,0.0,0.0,2.0,0,8.916105091481256,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
ORC-SHADE,10,7,25,4.8544279707130045e-09,171.15,29.01,0.0,0.0,0,23.256711016809504,5.039147365403096,0.7980111156412022,0.08112419333110665,4.8544279707130045e-09
ORC-SHADE,10,12,10,164.47351934602648,77.4,10.7,0.0,0.0,0,164.47433011525618,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE,10,12,9,165.46842172031893,77.91,10.98,0.0,0.0,0,165.4902109758682,165.46842172031893,165.46842172031893,165.46842172031893,165.46842172031893
ORC-SHADE,10,12,7,166.38750694155897,78.31,10.87,-0.9071,0.0,0,166.38756449932043,166.38750694155897,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE,10,11,28,4.547473508864641e-13,91.23,9.62,0.0,0.0,0,8.131657568810624e-05,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
ORC-SHADE,10,7,6,2.9805278245476075e-07,177.45,30.11,0.0,0.0,0,20.62013876241872,4.052640521075091,0.7023511658212556,0.2819923084093716,2.9805278245476075e-07
