variant,func,seed,best_fit,elapsed_s,explore_pct
"B:km=.05,pe=.05,k=10",12,1,166.38750694155942,83.52,14.17
"C:km=0,pe=0,k=10",4,4,12.000002346137308,72.88,17.82
"D:km=0,pe=.05,k=7",3,1,0.0,45.45,4.01
NL-SHADE,12,1,164.47351934602648,109.71,
"A:km=0,pe=.05,k=10",6,2,0.46495701534740874,110.32,60.4
"B:km=.05,pe=.05,k=10",12,2,165.46842172031893,86.23,11.38
"C:km=0,pe=0,k=10",6,3,0.31222934865718344,71.26,60.45
"B:km=.05,pe=.05,k=10",10,4,221.12205728252366,92.67,7.02
"C:km=0,pe=0,k=10",4,2,12.000000424421614,79.34,19.17
"C:km=0,pe=0,k=10",6,4,0.42953637150208124,73.97,59.79
"D:km=0,pe=.05,k=7",3,0,0.0,53.52,4.4
"E:km=0,pe=.05,k=15",1,1,0.0,32.25,6.38
"E:km=0,pe=.05,k=15",1,3,0.0,32.2,6.67
NL-SHADE,12,3,165.46842172031893,116.97,
"E:km=0,pe=.05,k=15",1,0,0.0,33.29,7.1
"E:km=0,pe=.05,k=15",1,2,0.0,33.9,6.65
"B:km=.05,pe=.05,k=10",11,0,4.547473508864641e-13,98.9,10.37
"C:km=0,pe=0,k=10",9,2,4.547473508864641e-13,74.42,11.21
"E:km=0,pe=.05,k=15",2,2,3.986579112347158,35.17,9.07
"D:km=0,pe=.05,k=7",9,0,0.0,48.62,10.34
"E:km=0,pe=.05,k=15",2,1,3.986579112347158,36.47,9.74
"A:km=0,pe=.05,k=10",11,2,4.547473508864641e-13,122.55,10.37
"D:km=0,pe=.05,k=7",9,2,0.0,48.7,10.13
"C:km=0,pe=0,k=10",6,0,0.48450127326236725,84.47,60.75
"D:km=0,pe=.05,k=7",9,1,0.0,49.76,10.57
"E:km=0,pe=.05,k=15",2,0,3.986579112347158,37.75,9.75
"C:km=0,pe=0,k=10",11,1,4.547473508864641e-13,70.53,10.74
"D:km=0,pe=.05,k=7",9,3,4.547473508864641e-13,49.35,10.05
"C:km=0,pe=0,k=10",11,2,4.547473508864641e-13,70.81,10.68
"D:km=0,pe=.05,k=7",9,4,0.0,50.68,10.47
"D:km=0,pe=.05,k=7",6,4,0.4391837148900777,56.02,57.57
NL-SHADE,7,0,2.7284841053187847e-12,125.82,
"E:km=0,pe=.05,k=15",2,4,3.986579112347158,35.41,9.28
"A:km=0,pe=.05,k=10",11,3,4.547473508864641e-13,125.94,10.36
"D:km=0,pe=.05,k=7",6,0,0.458948529558711,58.23,58.15
"D:km=0,pe=.05,k=7",10,2,220.87264974897926,49.87,6.09
"D:km=0,pe=.05,k=7",4,1,12.0,61.08,23.25
"D:km=0,pe=.05,k=7",10,3,220.8726497489797,49.41,6.56
"C:km=0,pe=0,k=10",11,4,0.0,72.78,11.05
"D:km=0,pe=.05,k=7",10,1,220.8726497489797,50.78,6.74
"C:km=0,pe=0,k=10",4,1,10.00000180767995,93.42,19.43
NL-SHADE,7,4,1.5234036254696548e-11,127.57,
"C:km=0,pe=0,k=10",6,2,0.41114746651351197,89.55,59.15
"B:km=.05,pe=.05,k=10",12,4,164.47351934602648,103.64,13.39
"D:km=0,pe=.05,k=7",10,0,220.8726497489797,52.21,6.72
"D:km=0,pe=.05,k=7",4,0,12.000000009287419,63.82,23.05
"D:km=0,pe=.05,k=7",6,1,0.23280021466348444,60.19,58.76
"B:km=.05,pe=.05,k=10",4,1,10.000006110854201,130.43,15.01
"A:km=0,pe=.05,k=10",4,1,8.00000131542788,129.57,14.56
"E:km=0,pe=.05,k=15",1,4,0.0,46.49,6.66
"D:km=0,pe=.05,k=7",6,3,0.46626066090288987,61.37,57.05
"A:km=0,pe=.05,k=10",12,4,165.83767187153398,131.69,12.49
"C:km=0,pe=0,k=10",9,3,4.547473508864641e-13,85.37,11.35
"C:km=0,pe=0,k=10",10,1,220.8726497489797,82.42,6.54
"C:km=0,pe=0,k=10",4,3,10.000000268844929,98.05,17.91
"C:km=0,pe=0,k=10",9,0,4.547473508864641e-13,87.34,10.96
"E:km=0,pe=.05,k=15",3,1,0.0,38.76,4.94
"E:km=0,pe=.05,k=15",3,0,0.0,38.98,4.46
"E:km=0,pe=.05,k=15",3,2,0.0,38.9,4.22
"C:km=0,pe=0,k=10",12,0,164.47351934602648,78.19,11.23
"E:km=0,pe=.05,k=15",3,3,0.0,39.93,4.41
"E:km=0,pe=.05,k=15",3,4,0.0,39.65,4.46
"C:km=0,pe=0,k=10",9,4,4.547473508864641e-13,86.16,10.83
"E:km=0,pe=.05,k=15",5,2,0.0,36.06,4.91
