algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Tabu,cifar10,200,19,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,21,80.0663,19.9337,200,0.009,False
Tabu,cifar10,200,40,80.0663,19.9337,200,0.002,False
RE,cifar10,200,55,80.0663,19.9337,200,0.154,False
Tabu,cifar10,200,16,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,25,80.0663,19.9337,200,0.002,False
RE,cifar10,200,82,80.0663,19.9337,200,0.083,False
Tabu,cifar10,200,48,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,20,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,26,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,27,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,47,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,12,80.0663,19.9337,200,0.011,False
ORC-RE,cifar10,100,52,76.0475,23.9525,100,14.319,False
Tabu,cifar10,200,23,80.0663,19.9337,200,0.002,False
ORC-RE,cifar10,100,90,80.0663,19.9337,100,14.095,False
Tabu,cifar10,200,30,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,32,80.0663,19.9337,200,0.001,False
Tabu,cifar10,200,29,80.0663,19.9337,200,0.043,False
Tabu,cifar10,200,31,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,28,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,36,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,37,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,35,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,9,80.0663,19.9337,200,0.013,False
Tabu,cifar10,200,34,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,38,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,43,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,45,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,46,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,44,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,42,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,66,80.0663,19.9337,200,0.041,False
Tabu,cifar10,200,49,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,50,80.0663,19.9337,200,0.044,False
Tabu,cifar10,200,51,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,8,80.0663,19.9337,200,0.059,False
ORC-RE,cifar10,100,95,76.0475,23.9525,100,14.262,False
ORC-RE,cifar10,100,76,76.0475,23.9525,100,14.396,False
Tabu,cifar10,200,33,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,52,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,53,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,61,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,54,80.0663,19.9337,200,0.008,False
Tabu,cifar10,200,56,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,39,80.0663,19.9337,200,0.047,False
Tabu,cifar10,200,41,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,58,80.0663,19.9337,200,0.003,False
ORC-RE,cifar10,100,78,80.0663,19.9337,100,14.673,False
Tabu,cifar10,200,59,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,60,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,64,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,63,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,91,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,67,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,68,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,97,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,69,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,70,80.0663,19.9337,200,0.005,False
ORC-RE,cifar10,100,83,75.0112,24.9888,100,14.394,False
Tabu,cifar10,200,74,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,77,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,78,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,75,98.9577,1.0423,200,0.002,False
Tabu,cifar10,200,76,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,81,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,80,80.0663,19.9337,200,0.005,False
